condition,face_idx,slug,det_rate,mean_conf,max_conf
vanilla,78,skyline_night,0.01639344262295082,0.5137742161750793,0.5137742161750793
vanilla,79,subway_tunnel,1.0,0.7939165850154689,0.86564040184021
vanilla,80,back_alley,0.0,0.0,0.0
vanilla,81,stormy_sea,0.16393442622950818,0.5441056966781617,0.6309470534324646
vanilla,82,calm_lake,0.4918032786885246,0.5427605966726939,0.6200077533721924
vanilla,83,frozen_lake,0.03278688524590164,0.5900883078575134,0.6296684741973877
vanilla,84,reflection_pond,0.36065573770491804,0.520883400331844,0.558614194393158
vanilla,85,coral_reef,0.0,0.0,0.0
vanilla,86,mangrove_forest,0.04918032786885246,0.616036057472229,0.7008426189422607
vanilla,87,misty_swamp,0.0,0.0,0.0
vanilla,88,arctic_tundra,0.4098360655737705,0.5118505787849427,0.5393838286399841
vanilla,89,african_savanna,0.0,0.0,0.0
vanilla,90,twilight_plain,0.0,0.0,0.0
vanilla,91,golden_hour_field,1.0,0.5458281587381832,0.6084082126617432
vanilla,92,sunrise_mountains,0.0,0.0,0.0
vanilla,93,rainbow_valley,0.01639344262295082,0.5029080510139465,0.5029080510139465
vanilla,94,tornado_plains,0.0,0.0,0.0
vanilla,95,starry_desert,0.0,0.0,0.0
vanilla,96,weathered_stone,0.7868852459016393,0.6323151737451553,0.7458460927009583
vanilla,97,tree_bark,0.0,0.0,0.0
vanilla,98,cracked_earth,0.01639344262295082,0.5122556090354919,0.5122556090354919
vanilla,99,ivy_wall,0.0,0.0,0.0
